"ticker","id","country","type_label"
"6785 JP Equity","Suzuki Co Ltd","JP","Technology Hardware & Equipmen"
"002475 CH Equity","Luxshare Precision Industry Co Ltd","CN","Technology Hardware & Equipmen"
"UNFI US Equity","United Natural Foods Inc","US","Food & Staples Retailing"
"JNJ US Equity","Johnson & Johnson","US","Pharmaceuticals, Biotechnology"
"EL US Equity","Estee Lauder Cos Inc/The","US","Household & Personal Products"
"OR FP Equity","L'Oreal SA","FR","Household & Personal Products"
"T US Equity","AT&T Inc","US","Telecommunication Services"
"BG US Equity","Bunge Ltd","US","Food, Beverage & Tobacco"
"SLGN US Equity","Silgan Holdings Inc","US","Materials"
"CCL/B CN Equity","CCL Industries Inc","CA","Materials"
"000049 CH Equity","Shenzhen Desay Battery Technology Co","CN","Capital Goods"
"7928 JP Equity","Asahi Kagaku Kogyo Co Ltd","JP","Materials"
"5945 JP Equity","Tenryu Saw Manufacturing Co Ltd","JP","Capital Goods"
"3481 TT Equity","Innolux Corp","TW","Technology Hardware & Equipmen"
"HAIN US Equity","Hain Celestial Group Inc/The","US","Food, Beverage & Tobacco"
"BN FP Equity","Danone SA","FR","Food, Beverage & Tobacco"
"CAG US Equity","Conagra Brands Inc","US","Food, Beverage & Tobacco"
"APD US Equity","Air Products & Chemicals Inc","US","Materials"
"GMAB DC Equity","Genmab A/S","DK","Pharmaceuticals, Biotechnology"
"ALKS US Equity","Alkermes PLC","IE","Pharmaceuticals, Biotechnology"
"788 HK Equity","China Tower Corp Ltd","CN","Telecommunication Services"
"000063 CH Equity","ZTE Corp","CN","Technology Hardware & Equipmen"
"8060 JP Equity","Canon Marketing Japan Inc","JP","Technology Hardware & Equipmen"
"3744 JP Equity","SIOS Corp","JP","Software & Services"
"4776 JP Equity","Cybozu Inc","JP","Software & Services"
"3816 JP Equity","Daiwa Computer Co Ltd","JP","Software & Services"
"NTAP US Equity","NetApp Inc","US","Technology Hardware & Equipmen"
"SK FP Equity","SEB SA","FR","Consumer Durables & Apparel"
"6501 JP Equity","Hitachi Ltd","JP","Technology Hardware & Equipmen"
"VOD SJ Equity","Vodacom Group Ltd","ZA","Telecommunication Services"
"WCH GR Equity","Wacker Chemie AG","DE","Materials"
"6258 JP Equity","Hirata Corp","JP","Capital Goods"
"LEO GR Equity","Leoni AG","DE","Automobiles & Components"
"6161 JP Equity","Estic Corp","JP","Capital Goods"
"CON GR Equity","Continental AG","DE","Automobiles & Components"
"600577 CH Equity","Tongling Jingda Special Magnet Wire Co Ltd","CN","Capital Goods"
"EO FP Equity","Faurecia SE","FR","Automobiles & Components"
"ALV US Equity","Autoliv Inc","SE","Automobiles & Components"
"9902 JP Equity","Nichiden Corp","JP","Capital Goods"
"RDSA LN Equity","Royal Dutch Shell PLC","NL","Energy"
"BP/ LN Equity","BP PLC","GB","Energy"
"XOM US Equity","Exxon Mobil Corp","US","Energy"
"LYB US Equity","LyondellBasell Industries NV","US","Materials"
"010060 KS Equity","OCI Co Ltd","KR","Materials"
"002371 CH Equity","NAURA Technology Group Co Ltd","CN","Technology Hardware & Equipmen"
"YENCCZ KS Equity","Yeochun NCC Co Ltd","KR","#N/A N/A"
"0962406D KS Equity","Hanwha Q CELLS Korea Corp","KR","#N/A N/A"
"SIPCHEM AB Equity","Sahara International Petrochemical Co","SA","Materials"
"HANTPCZ KF Equity","Hanwha Total Petrochemical Co Ltd","KR","#N/A N/A"
"010470 KS Equity","Oricom Inc","KR","Media & Entertainment"
"122900 KS Equity","iMarketKorea Inc","KR","Capital Goods"
"6490 TT Equity","Sunlux Energy Corp","TW","Semiconductors & Semiconductor"
"BIIB US Equity","Biogen Inc","US","Pharmaceuticals, Biotechnology"
"4519 JP Equity","Chugai Pharmaceutical Co Ltd","JP","Pharmaceuticals, Biotechnology"
"HALO US Equity","Halozyme Therapeutics Inc","US","Pharmaceuticals, Biotechnology"
"051910 KS Equity","LG Chem Ltd","KR","Materials"
"6176 TT Equity","Radiant Opto-Electronics Corp","TW","Semiconductors & Semiconductor"
"6902 JP Equity","Denso Corp","JP","Automobiles & Components"
